artist,song
/sean-paul/,Sexy Lady
/sean-paul/,Sound The Alarm
/sean-paul/,Tek Weh Yuh Heart (Ft. Tory Lanez)
/sean-paul/,Uptown Haters (Skit)
/sean-paul/,Yardie Bone
/puff-daddy/,Can't Believe
/puff-daddy/,About That Money (p. Diddy Outro)
/puff-daddy/,Best Friend (feat. Mario Winans)
/puff-daddy/,"Diddy Rock (feat. Timbaland, Shawnna, Twista)"
/puff-daddy/,Friend (feat. Simone Hines & Foxy Brown)
/puff-daddy/,I Want The Love (Feat. Meek Mill)
/puff-daddy/,"Journey Through the Life (feat. Nas, Beanie Siegel, Lil' Kim, Joe Hooker)"
/puff-daddy/,No Way Out (Intro)
/puff-daddy/,Show Me Your Soul
/puff-daddy/,Tomorrow Tonigth
/xxxtentacion/,Hope
/xxxtentacion/,"Alone, Part 3"
/xxxtentacion/,Ex Bitch
/xxxtentacion/,Ayala (outro)
/xxxtentacion/,Difference (Interlude)
/xxxtentacion/,"Ghost Busters (With Trippie Redd, feat. Quavo, Ski Mask The Slump God)"
/xxxtentacion/,Indecision
/xxxtentacion/,Limbo (Feat. Killstation)
/xxxtentacion/,Orlando
/xxxtentacion/,Run Up On Me
/xxxtentacion/,The Only Time I Feel Alive (feat. Craig Xen)
/xxxtentacion/,Who The Fuck Is God
/frank-ocean/,Be Yourself
/frank-ocean/,Pyramids
/frank-ocean/,Bad Romance (Cover)
/frank-ocean/,Day Away
/frank-ocean/,Facebook Story (feat. Sebastian)
/frank-ocean/,Godspeed (feat. Kim Burrell)
/frank-ocean/,Let Me (Feat. Kyle Christopher)
/frank-ocean/,Pink Matter (Feat. André 3000)
/frank-ocean/,Scared Of Beautiful
/frank-ocean/,Sucka For Love
/velozes-e-furiosos/,Tokyo Drift
/velozes-e-furiosos/,Rollin' (urban Assault Vehicle)
/velozes-e-furiosos/,Whip
/velozes-e-furiosos/,Hell Yeah
/velozes-e-furiosos/,Race Against Time Pt. 2
/velozes-e-furiosos/,Turn Down for What
/ja-rule/,Put It On Me
/ja-rule/,Niggas & Bitches
/ja-rule/,Ain't It Funny
/ja-rule/,Blood In My Eye
/ja-rule/,Daddy's Little Baby
/ja-rule/,E-Dub And Ja
/ja-rule/,Free
/ja-rule/,I Cry
/ja-rule/,Ja Rule Loves Us
/ja-rule/,Loose Change
/ja-rule/,New York Is Back
/ja-rule/,R.U.L.E.
/ja-rule/,Shit Gets Ugly
/ja-rule/,Talk
/ja-rule/,The Warning
/ja-rule/,We Different
/gorillaz/,Feel Good Inc. (feat. De La Soul)
/gorillaz/,Aries (feat. Peter Hook & Georgia)
/gorillaz/,Feel Good Inc. (tablatura)
/gorillaz/,Andromeda
/gorillaz/,Circle of Friendz (feat. Brandon Markell Holmes)
/gorillaz/,Dracula
/gorillaz/,Green World (drinking All The Sunshine)
/gorillaz/,Humility (feat. George Benson)
/gorillaz/,Lake Zurich
/gorillaz/,Machine Bitez #6
/gorillaz/,Murdoc Burn In Hell
/gorillaz/,Punk
/gorillaz/,Sleeping Powder
/gorillaz/,Strobelite (Feat. Peven Everett)
/gorillaz/,The Sounder
/gorillaz/,White Light
/big-sean/,I Don't Fuck With You (Feat. E-40)
/big-sean/,Sacrifices (Feat. Migos)
/big-sean/,24k Of Gold (Feat. J. Cole)
/big-sean/,Dance (A$$)
/big-sean/,First Chain (Feat. Kid Cudi & Nas)
/big-sean/,High
/big-sean/,Lucky Cunt
/big-sean/,My Last
/big-sean/,Reason (Feat. Swae Lee)
/big-sean/,Story By Dave Chappelle
/big-sean/,What a Year (feat. Pharrell & Detail)
/travis-scott/,MAFIA
/travis-scott/,Franchise (Feat. Young Thug & M.I.A)
/travis-scott/,5% Tint
/travis-scott/,GANG GANG (With JACKBOYS & Sheck Wes)
/travis-scott/,"Maria, I'm Drunk (Feat. Justin Bieber & Young Thug)"
/travis-scott/,Stop Trying To Be God
/sean-kingston/,Beautiful Girls
/sean-kingston/,She Moves
